customer_id,name,login_frequency,session_duration,feature_usage,support_tickets,subscription_age,plan_type,last_active_days,revenue,churn
CUST-1000,Soylent Corp #100,7,57,63,4,50,Basic,10,33.49,0
CUST-1001,Vandelay Industries #101,9,58,65,0,10,Basic,0,45.22,0
CUST-1002,Oscorp #102,6,55,63,6,21,Enterprise,22,938.26,1
CUST-1003,Aperture Science #103,11,44,65,5,36,Pro,12,106.15,1
CUST-1004,Reynholm Industries #104,3,55,68,3,12,Basic,14,29.65,1
CUST-1005,Soylent Corp #105,14,85,85,5,27,Enterprise,25,871.28,1
CUST-1006,Gekko & Co #106,17,76,100,3,40,Basic,4,31.67,0
CUST-1007,Aperture Science #107,7,31,56,4,2,Pro,20,112.3,1
CUST-1008,Aperture Science #108,1,19,82,2,54,Basic,29,29.45,1
CUST-1009,Umbrella Corp #109,9,42,66,0,13,Basic,16,30.0,0
CUST-1010,Reynholm Industries #110,10,41,53,5,53,Basic,30,34.27,1
CUST-1011,Initech #111,9,46,83,4,32,Pro,30,105.5,1
CUST-1012,Globex #112,13,65,71,1,31,Basic,24,36.38,0
CUST-1013,Bluth Company #113,5,44,26,3,16,Basic,22,45.66,1
CUST-1014,Vehement Capital #114,1,35,57,4,32,Basic,23,35.53,1
CUST-1015,Globex #115,14,54,63,2,32,Pro,24,171.78,1
CUST-1016,Acme Corp #116,12,52,90,3,60,Enterprise,5,545.95,0
CUST-1017,Bluth Company #117,10,61,57,0,34,Basic,27,42.19,1
CUST-1018,Bluth Company #118,17,33,51,4,11,Pro,20,130.67,1
CUST-1019,Dunder Mifflin #119,20,69,93,5,10,Enterprise,21,873.88,0
CUST-1020,Cyberdyne Systems #120,8,50,70,7,15,Pro,10,112.63,0
CUST-1021,Tyrell Corp #121,10,61,67,4,17,Basic,17,46.96,1
CUST-1022,Oscorp #122,20,54,55,1,40,Basic,3,33.85,0
CUST-1023,Oscorp #123,10,34,62,1,18,Basic,2,36.06,0
CUST-1024,Gekko & Co #124,8,54,66,2,55,Basic,12,48.0,0
CUST-1025,Bluth Company #125,5,11,33,6,9,Basic,22,40.57,1
CUST-1026,Vandelay Industries #126,12,73,65,2,25,Pro,8,135.58,0
CUST-1027,Initech #127,7,47,51,3,40,Basic,20,47.99,1
CUST-1028,Hooli #128,10,73,61,2,59,Basic,5,35.58,0
CUST-1029,Gekko & Co #129,2,17,62,4,14,Pro,25,108.49,1
CUST-1030,Soylent Corp #130,10,43,73,6,60,Basic,29,48.94,1
CUST-1031,Massive Dynamic #131,13,19,63,3,58,Pro,27,125.78,1
CUST-1032,Soylent Corp #132,19,56,68,2,25,Pro,11,184.13,0
CUST-1033,Prestige Worldwide #133,12,51,61,0,50,Basic,1,32.31,0
CUST-1034,Umbrella Corp #134,18,36,54,2,22,Pro,2,172.14,0
